,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
IFI6,IFI6,4.38534114950012,5.16468844229652,42.9025073940507,4.98854901112084e-24,7.16305752506841e-20,up
ISG15,ISG15,3.79364191084096,3.97558470174604,29.4291700865499,3.29666081515266e-20,1.60004557505044e-16,up
IFIT1,IFIT1,4.17606380411733,4.0156286495524,29.411456059115,3.34294639261183e-20,1.60004557505044e-16,up
IRF9,IRF9,2.18376422572319,5.23840354766835,26.8969161720668,2.63465334428768e-19,9.45774684265671e-16,up
OAS3,OAS3,1.44014191719405,8.1356177576519,25.4408635540224,9.47633238658604e-19,2.72141313477978e-15,up
PARP9,PARP9,2.02829065640599,5.22855249978612,24.9664603241881,1.45946934138873e-18,3.49275337883347e-15,up
IRF7,IRF7,3.25225186144708,3.76526377044527,24.5506464852004,2.14452475773059e-18,4.11589222647596e-15,up
OAS1,OAS1,1.54842644344833,6.69531013861055,24.4789125898518,2.29313585986543e-18,4.11589222647596e-15,up
MX1,MX1,5.01679227422765,3.09356058687705,23.8362587490362,4.21406101803213e-18,6.72330023976925e-15,up
HELZ2,HELZ2,1.57343367267707,5.99978560857196,22.1173477630139,2.31837377888134e-17,3.32895290909571e-14,up
STAT1,STAT1,1.26535248800899,8.26326495126383,21.139865039026,6.45721578204535e-17,8.42901467403538e-14,up
DDX60,DDX60,2.16769704122521,3.65227425311119,17.6820967406332,3.52524704910053e-15,4.21825186483621e-12,up
DTX3L,DTX3L,1.32909371268908,5.55210635099596,17.3328060211547,5.48122809971236e-15,6.05422725259768e-12,up
TRIM14,TRIM14,1.21780742578708,5.73836141076851,16.3055571970395,2.1010595908043e-14,2.15493676173993e-11,up
IFIT3,IFIT3,1.94695199289449,3.46297071627098,16.0205712080496,3.08918601225491e-14,2.82929172296021e-11,up
DDX58,DDX58,1.63356259509023,4.92137765807972,16.0056570441806,3.15263371873831e-14,2.82929172296021e-11,up
PLSCR1,PLSCR1,0.99530243514712,6.54910109776849,14.8444341273328,1.61461614403227e-13,1.36378077718584e-10,up
IFI35,IFI35,1.20424874013193,5.26083038746118,14.6581364847811,2.11877951872514e-13,1.69019750607635e-10,up
EIF2AK2,EIF2AK2,1.1017495838332,6.16039602325068,14.1990856650841,4.18927818393616e-13,3.16599186542839e-10,up
LAP3,LAP3,0.989159029290304,6.08317368573864,13.846288254791,7.15991846793158e-13,5.14046346405148e-10,up
IFIH1,IFIH1,1.71796114680692,3.34460375360306,13.3552063986076,1.53750507736625e-12,1.05128740028105e-09,up
HERC6,HERC6,1.39789848515786,4.06352430484922,13.3110547690471,1.64862099868678e-12,1.07602495091562e-09,up
C1R,C1R,0.879025101361461,6.42109290445996,12.8913888869641,3.22923692905416e-12,2.01602665496908e-09,up
IFI27,IFI27,3.65636806983056,1.07851010718738,12.4860371890045,6.28154229849726e-12,3.75819441100509e-09,up
CXCL5,CXCL5,0.685765389480525,9.47606279306501,12.3923622070102,7.34250619637642e-12,4.21724185895076e-09,up
C1S,C1S,0.749305670105266,6.89785763989846,11.6999925305626,2.39262403299654e-11,1.26187041329308e-08,up
SAMHD1,SAMHD1,0.967719451418092,4.8404460957457,11.6899556399045,2.43484746614694e-11,1.26187041329308e-08,up
SP100,SP100,0.851950062466186,5.86832624091744,11.6839121047433,2.4606429119163e-11,1.26187041329308e-08,up
