,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
IFIT1,IFIT1,5.09172637496856,7.19137945192672,26.0544989761391,5.28878915413135e-148,7.94481906733611e-144,up
MX1,MX1,5.56606904842344,5.52323009114141,24.0537794962805,1.20396191288397e-126,9.04295792767152e-123,up
ISG15,ISG15,4.53840903854011,7.71841190838604,23.9526367919538,1.30894412645239e-125,6.55431955585592e-122,up
IFIT3,IFIT3,5.02170833820505,5.92506478964493,23.3817833790057,7.71436966572938e-120,2.89713152796467e-116,up
OASL,OASL,5.52969278043657,5.05042668160769,22.4212628487291,1.97014281045979e-110,5.91909705974541e-107,up
IFIT2,IFIT2,4.83300042537914,5.11679943149602,20.6251530944653,7.30572757670249e-94,1.82911066095375e-90,up
IRF7,IRF7,3.93405429151628,6.77067441057184,20.2486653039859,1.46982217089201e-90,3.15423837873425e-87,up
HELZ2,HELZ2,3.82695770763906,7.16044555698538,20.0524300009096,7.34218296004939e-89,1.37867840532327e-85,up
BATF2,BATF2,4.48827907595494,4.65148166681407,18.2457997346313,5.61223457696628e-74,9.36744309057639e-71,up
PARP10,PARP10,4.02738896406187,5.28191986736322,18.2142442529465,9.93053362842834e-74,1.49176476166251e-70,up
XAF1,XAF1,5.66735140316564,3.56767607918755,17.2132181836262,4.388592373731e-66,5.99322133074428e-63,up
TMEM158,TMEM158,3.84266744382894,5.09601116520223,17.1234500732003,2.02944484014654e-65,2.54052669905677e-62,up
DDX58,DDX58,3.42103171501109,6.00281472427521,16.9410514472722,4.44891092377242e-64,5.14088768437764e-61,up
OAS2,OAS2,4.95851551319002,3.77650559402833,16.7696219378631,7.86571115709168e-63,8.43990807155937e-60,up
OAS1,OAS1,3.11489135339391,7.85781410603576,16.7460062775363,1.16578676563645e-62,1.16749658622605e-59,up
OAS3,OAS3,3.00505827103074,7.42414264227982,16.0238808309728,1.50829620859483e-57,1.41610160284447e-54,up
IFI6,IFI6,2.9376495208241,8.82746808773964,15.9084998674146,9.43839403469349e-57,8.34020912877445e-54,up
IFI44,IFI44,4.40915093504503,3.87741967757612,15.8073392702321,4.66159553502124e-56,3.89036045150495e-53,up
IFI27,IFI27,3.12787578224395,5.99198115419663,15.5725282900432,1.82784540963958e-54,1.44515230229504e-51,up
PARP9,PARP9,3.04982886785338,6.20712948093406,15.4404384549663,1.40624090694028e-53,1.05622754520284e-50,up
