,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
IL8,IL8,2.2957102817788,7.00144314621308,25.2832402504802,9.80883574738208e-15,1.40001512622384e-10,up
SAA2,SAA2,2.41309514287404,4.92850127624251,21.0433123139825,1.9171189701523e-13,1.36815195304919e-09,up
S100A8,S100A8,1.87652126695486,6.66612704931422,19.1245075865184,8.89255330918364e-13,3.8645828502955e-09,up
INHBA,INHBA,1.90035327806294,6.19092417993529,18.8900194642588,1.08304711001065e-12,3.8645828502955e-09,up
CCL20,CCL20,3.07163068597417,4.17063798796428,18.1664011979357,2.01899147403876e-12,5.76341306179106e-09,up
KRT6B,KRT6B,1.57718792443128,7.46797764544897,17.6687567315361,3.13979474122634e-12,7.46904839025393e-09,up
C3,C3,1.42486764980012,8.65410436699383,17.2615932930601,4.54433274353835e-12,8.49736867629989e-09,up
TNIP1,TNIP1,1.2409755147965,8.26897284034157,17.0858658957403,5.34350395287593e-12,8.49736867629989e-09,up
SAA1,SAA1,2.09440830411552,7.50817347088531,17.0568298841958,5.48926032820971e-12,8.49736867629989e-09,up
TNFAIP3,TNFAIP3,1.53261217798502,7.16128900055042,16.9695121893905,5.95345664982827e-12,8.49736867629989e-09,up
IL36G,IL36G,2.71089276458082,3.73741997842267,16.6254894378558,8.22757499486875e-12,1.06756525365238e-08,up
ICAM1,ICAM1,1.76606745431312,6.80691675706355,16.2652268665245,1.16202699214221e-11,1.38213427157048e-08,up
CXCL1,CXCL1,1.40023921365501,6.8634139070771,16.0793643363407,1.39229629615311e-11,1.52863423346102e-08,up
S100A9,S100A9,1.07584196529846,9.70078237066487,15.2414422100846,3.22079266996292e-11,3.2835981270272e-08,up
C15orf48,C15orf48,1.24250365102579,5.8995904827212,14.5518023625536,6.62391527760009e-11,5.99785156877084e-08,up
CFB,CFB,1.74605228819396,5.55811883988408,14.5378098811723,6.72357774121302e-11,5.99785156877084e-08,up
SOD2,SOD2,1.44679407234108,6.98777839325377,14.4128587860466,7.68698800160163e-11,6.45390469099177e-08,up
HBEGF,HBEGF,1.31751291366552,6.02667646418181,14.3491795892137,8.23306059125114e-11,6.52835965660708e-08,up
SLC6A14,SLC6A14,1.28193606555889,6.78690492147738,14.2314349516215,9.35345607532396e-11,7.02641466121573e-08,up
ZC3H12A,ZC3H12A,1.56557511646802,5.74665487708965,13.9192445853601,1.31768150047417e-10,8.90174552363928e-08,up
IRF9,IRF9,1.25024862406245,5.49167523688185,13.901667428114,1.3436147764138e-10,8.90174552363928e-08,up
MX1,MX1,2.56530823966531,4.44207706446813,13.8827750569175,1.37208997071438e-10,8.90174552363928e-08,up
RHCG,RHCG,1.30524392208645,6.15916003874181,13.7421499842798,1.60512610747395e-10,9.96085431825031e-08,up
LIF,LIF,1.23453038308777,5.99880849599804,13.5827814019581,1.92058481337057e-10,1.14218779338492e-07,up
IL1B,IL1B,1.03384326419195,8.22361189268947,13.3417599645332,2.52789911810197e-10,1.44322816450677e-07,up
IL32,IL32,1.20036768634479,5.83599803078573,12.7408448695211,5.10861888445399e-10,2.80443528222353e-07,up
SPRR2D,SPRR2D,3.02124867717094,4.05402476056837,12.3237804411824,8.46132898926723e-10,4.47290920977079e-07,up
IFI27,IFI27,3.01891682481721,3.8671878924218,12.1333237839023,1.07035034693264e-09,5.45611089348911e-07,up
OAS2,OAS2,1.29230946207889,5.4530989575802,12.0702454514556,1.15777126333715e-09,5.69823077296934e-07,up
BIRC3,BIRC3,1.6821868223983,4.05669818756016,11.8420094696599,1.54243174109859e-09,7.33837608023341e-07,up
OAS3,OAS3,1.36653693192652,5.99805817284621,11.7270553440437,1.78518673328473e-09,8.21934524005579e-07,up
SPRR2A,SPRR2A,1.71823790943603,4.96094919008824,11.632944822702,2.0138240996389e-09,8.86814540424707e-07,up
IL1A,IL1A,1.18616415168958,7.14526859469671,11.6189530818568,2.05036641448997e-09,8.86814540424707e-07,up
PLAT,PLAT,1.39705187723365,4.84907291219525,11.464080316405,2.50483897700044e-09,1.05151666819786e-06,up
KRT15,KRT15,-1.0361669545974,9.50707652096339,-11.282263577139,3.17719336737059e-09,1.29565945521373e-06,down
TNFAIP2,TNFAIP2,1.40350451425595,5.53327090669137,11.256496654294,3.286876772849e-09,1.30315533830205e-06,up
IRAK2,IRAK2,1.60631291151795,3.58413240804257,11.0876690617359,4.11165008479322e-09,1.52145215268319e-06,up
OAS1,OAS1,1.73049904837399,3.61026101023944,11.0853207550257,4.12455116039881e-09,1.52145215268319e-06,up
IER3,IER3,0.87974131349241,8.44013520641041,11.0794006496463,4.15726434208958e-09,1.52145215268319e-06,up
MAFF,MAFF,1.19499486591339,4.9128031995804,10.9380142566042,5.02540713141524e-09,1.79319089966724e-06,up
CXCL2,CXCL2,1.36247750344754,5.2557272046156,10.8016507443431,6.04489731106664e-09,2.1043614468501e-06,up
PDZK1IP1,PDZK1IP1,2.31223500018099,2.80756030147619,10.7043041097225,6.90446005848601e-09,2.34636567654216e-06,up
NFKB2,NFKB2,0.907580393220996,6.34343375685353,10.5761943072811,8.23624676643564e-09,2.73385930458921e-06,up
NFKBIZ,NFKBIZ,0.922661666302547,6.30946314875045,10.4549626443049,9.74686838891918e-09,3.16175119352372e-06,up
BPGM,BPGM,1.01303670040322,5.81831445147822,10.4284626439329,1.01143207488058e-08,3.20803777883789e-06,up
IL6,IL6,2.78574805728865,2.40098586786694,10.4048460745911,1.04540709049992e-08,3.24371639189245e-06,up
PGLYRP4,PGLYRP4,2.02276759864262,2.59723612686385,10.3566544364186,1.11851301410313e-08,3.39670984048808e-06,up
HEPHL1,HEPHL1,1.28697371758007,3.92537524847878,10.0985465235061,1.61294320516694e-08,4.79615382653079e-06,up
NFKBIA,NFKBIA,0.829996881389227,7.31884739818789,9.99272091493731,1.87788205108767e-08,5.47000214595394e-06,up
CXCL5,CXCL5,3.78804203618308,1.97354291192589,9.89050534389929,2.17746741853045e-08,6.15941323132108e-06,up
OLFML2A,OLFML2A,-1.0380957916379,4.83160112812574,-9.88315285259525,2.20086929725618e-08,6.15941323132108e-06,down
MXRA5,MXRA5,-1.03673037051918,5.63905269403282,-9.67336244760221,2.99313834754666e-08,8.21558916048722e-06,down
SERPINA3,SERPINA3,1.3111834651713,7.07669270496452,9.5431274708692,3.63136477057067e-08,9.77933384346324e-06,up
IFITM10,IFITM10,-1.63978240124055,3.59484275757429,-9.3466698220448,4.87803821686248e-08,1.2893377679496e-05,down
GPNMB,GPNMB,-0.91677889840474,7.16432158199016,-8.93852430864428,9.13359273528634e-08,2.37025034746803e-05,down
CXCL3,CXCL3,2.18159638521076,3.06927777897444,8.91277736474857,9.50840723962878e-08,2.42345529520039e-05,up
MYLK,MYLK,-1.75814982284438,2.55154447812179,-8.88407037455227,9.94539636131444e-08,2.49036214500072e-05,down
G0S2,G0S2,0.833729223801731,7.39823760577798,8.77793406623415,1.17527817092337e-07,2.8921974713085e-05,up
